iter	Passed	Remaining
365	992	1718
366	994	1714
367	997	1713
368	999	1709
369	1001	1704
370	1002	1700
371	1005	1696
372	1006	1692
373	1008	1688
374	1011	1685
375	1012	1680
376	1014	1676
377	1016	1672
378	1018	1668
379	1019	1663
380	1021	1659
381	1023	1655
382	1024	1651
383	1026	1646
384	1028	1642
385	1030	1638
386	1032	1634
387	1034	1632
388	1036	1628
389	1038	1624
390	1040	1620
391	1041	1615
392	1043	1611
393	1045	1607
394	1046	1603
395	1048	1598
396	1049	1594
397	1052	1591
398	1054	1587
399	1056	1584
400	1058	1580
401	1059	1576
402	1061	1572
403	1063	1568
404	1064	1564
405	1066	1560
406	1067	1555
407	1069	1551
408	1071	1547
409	1073	1544
410	1076	1542
411	1079	1539
412	1097	1560
413	1100	1557
414	1101	1553
415	1127	1583
416	1129	1579
417	1132	1577
418	1137	1577
419	1140	1575
420	1144	1573
421	1145	1569
422	1149	1567
423	1150	1563
424	1152	1559
425	1154	1555
426	1156	1551
427	1158	1548
428	1160	1544
429	1162	1540
430	1165	1538
431	1168	1535
432	1170	1532
433	1173	1530
434	1175	1526
435	1176	1522
436	1178	1518
437	1179	1513
438	1181	1510
439	1183	1506
440	1185	1503
441	1187	1499
442	1189	1495
443	1191	1491
444	1192	1487
445	1194	1483
446	1196	1479
447	1197	1476
448	1200	1473
449	1202	1470
450	1204	1466
451	1205	1462
452	1207	1457
453	1208	1453
454	1210	1449
455	1212	1445
456	1213	1442
457	1216	1439
458	1217	1435
459	1219	1431
460	1221	1427
461	1222	1423
462	1226	1423
463	1287	1487
464	1301	1496
465	1307	1498
466	1313	1498
467	1323	1504
468	1329	1505
469	1331	1501
470	1341	1506
471	1350	1510
472	1352	1506
473	1353	1502
474	1369	1513
475	1371	1509
476	1378	1511
477	1385	1512
478	1396	1518
479	1398	1514
480	1400	1510
481	1402	1507
482	1417	1517
483	1425	1519
484	1427	1515
485	1429	1511
486	1433	1509
487	1435	1506
488	1439	1504
489	1442	1501
490	1457	1511
491	1459	1507
492	1464	1506
493	1466	1502
494	1468	1497
495	1470	1493
496	1472	1489
497	1474	1486
498	1477	1483
499	1479	1479
500	1480	1474
501	1481	1469
502	1487	1469
503	1488	1465
504	1500	1470
505	1502	1466
506	1503	1462
507	1505	1458
508	1507	1453
509	1509	1450
510	1511	1446
511	1513	1442
512	1514	1438
513	1516	1434
514	1518	1429
515	1520	1425
516	1524	1424
517	1526	1420
518	1527	1415
519	1529	1411
520	1530	1407
521	1532	1403
522	1534	1399
523	1535	1394
524	1538	1391
525	1540	1388
526	1542	1384
527	1545	1381
528	1548	1378
529	1551	1376
530	1555	1373
531	1558	1370
532	1561	1367
533	1563	1364
534	1564	1360
535	1568	1357
536	1570	1353
537	1572	1350
538	1574	1346
539	1576	1342
540	1577	1338
541	1579	1335
542	1582	1332
543	1584	1328
544	1589	1327
545	1591	1323
546	1592	1319
547	1594	1315
548	1595	1310
549	1597	1306
550	1598	1302
551	1599	1298
552	1601	1294
553	1602	1290
554	1604	1286
555	1605	1282
556	1607	1278
557	1608	1273
558	1609	1269
559	1610	1265
560	1611	1261
561	1613	1257
562	1614	1253
563	1615	1249
564	1617	1245
565	1619	1241
566	1620	1237
567	1622	1233
568	1623	1229
569	1624	1225
570	1625	1221
571	1627	1217
572	1629	1214
573	1631	1210
574	1633	1207
575	1634	1203
576	1636	1199
577	1637	1195
578	1638	1191
579	1640	1187
580	1642	1184
581	1643	1180
582	1645	1176
583	1646	1173
584	1648	1169
585	1650	1166
586	1652	1162
587	1653	1158
588	1655	1155
589	1657	1152
590	1660	1148
591	1661	1145
592	1663	1141
593	1665	1138
594	1667	1134
595	1668	1131
596	1670	1127
597	1672	1124
598	1674	1120
599	1676	1117
600	1677	1113
601	1679	1110
602	1681	1107
603	1685	1105
604	1687	1101
605	1689	1098
606	1691	1095
607	1692	1091
608	1694	1087
609	1696	1084
610	1728	1100
611	1731	1097
612	1741	1099
613	1743	1095
614	1745	1092
615	1746	1088
616	1748	1085
617	1755	1085
618	1757	1081
619	1759	1078
620	1760	1074
621	1762	1070
622	1763	1067
623	1765	1063
624	1767	1060
625	1769	1057
626	1770	1053
627	1772	1049
628	1774	1046
629	1775	1042
630	1776	1039
631	1777	1035
632	1779	1031
633	1781	1028
634	1782	1024
635	1784	1021
636	1785	1017
637	1786	1013
638	1787	1009
639	1789	1006
640	1790	1002
641	1791	999
642	1792	995
643	1794	991
644	1795	988
645	1797	985
646	1798	981
647	1800	977
648	1801	974
649	1802	970
650	1803	967
651	1805	963
652	1806	959
653	1807	956
654	1808	952
655	1836	962
656	1838	959
657	1840	956
658	1841	952
659	1842	949
660	1845	946
661	1846	942
662	1848	939
663	1850	936
664	1852	932
665	1853	929
666	1855	926
667	1856	922
668	1858	919
669	1860	916
670	1862	913
671	1864	910
672	1867	907
673	1869	904
674	1873	901
675	1875	899
676	1879	896
677	1883	894
678	1891	894
679	1895	891
680	1900	890
681	1909	890
682	1912	887
683	1914	884
684	1919	882
685	1960	897
686	1961	893
687	1963	890
688	1969	889
689	1976	887
690	1987	888
691	1988	885
692	1991	882
693	1993	878
694	1994	875
695	1996	872
696	1998	868
697	2000	865
698	2002	862
699	2003	858
700	2030	865
701	2032	862
702	2034	859
703	2036	856
704	2037	852
705	2039	849
706	2041	845
707	2043	842
708	2044	839
709	2046	836
710	2048	832
711	2051	829
712	2054	827
713	2056	823
714	2058	820
715	2059	817
716	2062	814
717	2065	811
718	2068	808
719	2070	805
720	2072	802
721	2074	798
722	2076	795
723	2079	792
724	2081	789
725	2083	786
726	2085	783
727	2087	779
728	2089	776
729	2091	773
730	2093	770
731	2095	767
732	2097	763
733	2099	760
734	2101	757
735	2103	754
736	2104	751
737	2106	747
738	2108	744
739	2110	741
740	2111	738
741	2113	734
742	2114	731
743	2116	728
744	2145	734
745	2147	731
746	2150	728
747	2153	725
748	2157	722
749	2159	719
750	2161	716
751	2163	713
752	2165	710
753	2167	707
754	2169	704
755	2171	700
756	2174	697
757	2175	694
758	2178	691
759	2180	688
760	2181	685
761	2183	681
762	2185	678
763	2187	675
764	2190	672
765	2192	669
766	2194	666
767	2196	663
768	2198	660
769	2200	657
770	2203	654
771	2205	651
772	2207	648
773	2210	645
774	2221	644
775	2261	652
776	2263	649
777	2265	646
778	2267	643
779	2268	639
780	2272	637
781	2274	634
782	2276	630
783	2277	627
784	2279	624
785	2281	621
786	2282	617
787	2285	614
788	2287	611
789	2289	608
790	2292	605
791	2295	602
792	2297	599
793	2300	596
794	2302	593
795	2303	590
796	2305	587
797	2307	584
798	2309	580
799	2310	577
800	2312	574
801	2314	571
802	2316	568
803	2318	565
804	2320	562
805	2321	558
806	2323	555
807	2325	552
808	2326	549
809	2328	546
810	2330	543
811	2332	539
812	2334	536
813	2361	539
814	2364	536
815	2366	533
816	2368	530
817	2370	527
818	2374	524
819	2382	523
820	2384	519
821	2386	516
822	2388	513
823	2390	510
824	2395	508
825	2397	504
826	2398	501
827	2400	498
828	2402	495
829	2404	492
830	2406	489
831	2408	486
832	2409	483
833	2412	480
834	2414	477
835	2417	474
836	2419	471
837	2421	468
838	2423	464
839	2425	461
840	2427	458
841	2429	455
842	2430	452
843	2432	449
844	2434	446
845	2435	443
846	2437	440
847	2439	437
848	2442	434
849	2444	431
850	2445	428
851	2447	425
852	2449	422
853	2450	418
854	2452	415
855	2454	412
856	2456	409
857	2459	407
858	2462	404
859	2470	402
860	2490	402
861	2493	399
862	2494	396
863	2496	392
864	2498	389
865	2509	388
866	2511	385
867	2512	382
868	2514	379
869	2515	375
870	2517	372
871	2519	369
872	2521	366
873	2522	363
874	2525	360
875	2526	357
876	2531	355
877	2543	353
878	2551	351
879	2553	348
880	2555	345
881	2556	342
882	2558	338
883	2573	337
884	2575	334
885	2577	331
886	2581	328
887	2583	325
888	2585	322
889	2593	320
890	2595	317
891	2597	314
892	2599	311
893	2604	308
894	2607	305
895	2610	302
896	2612	299
897	2614	296
898	2616	293
899	2618	290
900	2641	290
901	2644	287
902	2652	284
903	2655	282
904	2658	279
905	2661	276
906	2664	273
907	2668	270
908	2670	267
909	2672	264
910	2676	261
911	2678	258
912	2680	255
913	2681	252
914	2683	249
915	2685	246
916	2687	243
917	2691	240
918	2694	237
919	2698	234
920	2711	232
921	2713	229
922	2715	226
923	2718	223
924	2724	220
925	2726	217
926	2727	214
927	2729	211
928	2730	208
929	2731	205
930	2732	202
931	2734	199
932	2736	196
933	2739	193
934	2741	190
935	2742	187
936	2743	184
937	2744	181
938	2745	178
939	2747	175
940	2749	172
941	2751	169
942	2753	166
943	2755	163
944	2756	160
945	2758	157
946	2759	154
947	2761	151
948	2763	148
949	2765	145
950	2794	143
951	2796	141
952	2800	138
953	2803	135
954	2805	132
955	2808	129
956	2810	126
957	2811	123
958	2813	120
959	2816	117
960	2818	114
961	2819	111
962	2821	108
963	2823	105
964	2825	102
965	2827	99
966	2829	96
967	2832	93
968	2834	90
969	2836	87
970	2837	84
971	2839	81
972	2841	78
973	2842	75
974	2844	72
975	2846	70
976	2848	67
977	2850	64
978	2852	61
979	2855	58
980	2856	55
981	2858	52
982	2860	49
983	2862	46
984	2864	43
985	2876	40
986	2883	37
987	2885	35
988	2887	32
989	2888	29
990	2889	26
991	2890	23
992	2892	20
993	2894	17
994	2895	14
995	2897	11
996	2900	8
997	2903	5
998	2905	2
999	2906	0
